OrderID,OrderDate,Category,SubCategory,Segment,CustomerName,Sales,Quantity,Discount,Profit
ORD-000064,2016-02-22,Office Supplies,Binders,Consumer,Customer 1167,78.55,4,0.04,7.8
ORD-000065,2016-02-09,Furniture,Bookcases,Corporate,Customer 859,110.62,1,0.12,12.66
ORD-000066,2016-04-03,Office Supplies,Accessories,Consumer,Customer 535,54.29,2,0.07,4.9
ORD-000067,2016-01-19,Furniture,Tables,Consumer,Customer 811,465.22,2,0.07,57.36
ORD-000068,2016-07-13,Furniture,Tables,Consumer,Customer 149,686.62,3,0.04,99.05
ORD-000069,2016-01-10,Furniture,Bookcases,Consumer,Customer 437,329.69,1,0.06,49.76
ORD-000070,2017-06-04,Office Supplies,Binders,Home Office,Customer 141,89.37,3,0.05,8.58
ORD-000071,2016-06-26,Technology,Machines,Consumer,Customer 898,1267.81,2,0.04,345.33
ORD-000072,2016-01-27,Technology,Machines,Corporate,Customer 1084,1293.82,4,0.04,366.18
ORD-000073,2016-01-01,Furniture,Tables,Home Office,Customer 213,619.08,3,0.03,99.8
ORD-000074,2016-07-21,Technology,Accessories,Consumer,Customer 220,537.94,3,0.09,126.95
ORD-000075,2016-05-27,Technology,Accessories,Consumer,Customer 432,1696.8,4,0.06,373.74
ORD-000076,2016-06-05,Technology,Accessories,Corporate,Customer 541,810.33,3,0.19,177.95
ORD-000077,2016-06-26,Office Supplies,Paper,Home Office,Customer 105,79.87,5,0.02,10.78
ORD-000078,2016-01-10,Furniture,Furnishings,Home Office,Customer 91,1292.62,5,0.19,90.81
ORD-000079,2016-02-23,Furniture,Chairs,Corporate,Customer 537,248.56,1,0.1,35.93
ORD-000080,2016-01-15,Furniture,Furnishings,Corporate,Customer 876,1207.65,5,0.08,235.39
ORD-000081,2016-08-26,Office Supplies,Art,Consumer,Customer 306,30.51,2,0.02,4.48
ORD-000082,2016-04-27,Office Supplies,Paper,Corporate,Customer 304,143.29,5,0.15,11.72
ORD-000083,2016-02-18,Office Supplies,Art,Consumer,Customer 82,101.37,3,0.01,10.84
ORD-000084,2016-01-08,Technology,Accessories,Corporate,Customer 211,465.72,3,0.06,132.94
ORD-000085,2016-02-14,Office Supplies,Accessories,Home Office,Customer 833,145.78,4,0.12,12.09
ORD-000086,2016-02-17,Technology,Accessories,Home Office,Customer 485,865.83,5,0.11,183.77
ORD-000087,2016-06-05,Technology,Accessories,Home Office,Customer 51,342.41,1,0.08,95.88
ORD-000088,2016-05-01,Furniture,Tables,Corporate,Customer 844,641.79,2,0.06,87.45
ORD-000089,2016-09-18,Technology,Accessories,Consumer,Customer 222,770.52,3,0.03,173.91
ORD-000090,2016-03-17,Office Supplies,Art,Home Office,Customer 456,92.48,3,0.08,9.1
ORD-000091,2016-01-16,Furniture,Furnishings,Consumer,Customer 467,984.4,3,0.04,171.03
ORD-000092,2016-05-29,Furniture,Chairs,Consumer,Customer 571,1690.81,7,0.11,188.39
ORD-000093,2016-06-20,Technology,Machines,Consumer,Customer 1044,1167.34,3,0.16,268.64
ORD-000094,2016-04-08,Office Supplies,Accessories,Consumer,Customer 57,42.66,2,0.07,3.86
ORD-000095,2016-06-25,Furniture,Tables,Consumer,Customer 544,232.81,2,0.07,34.69
ORD-000096,2016-03-22,Furniture,Furnishings,Consumer,Customer 643,882.61,4,0.03,149.07
ORD-000097,2016-03-29,Office Supplies,Accessories,Consumer,Customer 1181,139.81,4,0.02,9.63
ORD-000098,2016-03-07,Furniture,Bookcases,Corporate,Customer 4,1143.37,4,0.06,171.45
ORD-000099,2016-01-04,Office Supplies,Accessories,Corporate,Customer 404,36.13,2,0.07,3.24
ORD-000100,2016-01-14,Office Supplies,Art,Home Office,Customer 677,63.45,2,0.11,3.71
ORD-000101,2016-01-04,Office Supplies,Art,Corporate,Customer 616,24.41,2,0.05,3.26
ORD-000102,2016-05-01,Office Supplies,Storage,Consumer,Customer 606,23.2,1,0.13,1.68
ORD-000103,2016-02-15,Office Supplies,Binders,Consumer,Customer 777,29.62,1,0.02,3.69
ORD-000104,2016-03-26,Office Supplies,Binders,Corporate,Customer 617,115.34,5,0.05,9.8
ORD-000105,2016-10-12,Office Supplies,Art,Consumer,Customer 431,99.62,3,0.16,6.5
ORD-000106,2016-02-04,Office Supplies,Accessories,Corporate,Customer 660,88.45,3,0.06,11.02
ORD-000107,2016-03-04,Office Supplies,Storage,Corporate,Customer 1047,95.72,3,0.12,6.3
ORD-000108,2016-06-18,Office Supplies,Binders,Corporate,Customer 582,83.55,5,0.11,5.34
ORD-000109,2016-02-01,Office Supplies,Accessories,Consumer,Customer 482,144.22,4,0.06,10.63
ORD-000110,2016-01-10,Office Supplies,Binders,Home Office,Customer 302,29.28,2,0.15,1.87
ORD-000111,2016-02-11,Furniture,Chairs,Home Office,Customer 150,256.24,2,0.33,21.84
ORD-000112,2016-01-22,Office Supplies,Accessories,Consumer,Customer 787,79.78,3,0.11,6.84
ORD-000113,2016-11-14,Office Supplies,Binders,Consumer,Customer 12,72.54,5,0.03,6.68
ORD-000114,2016-07-17,Technology,Phones,Corporate,Customer 449,1141.35,4,0.13,257.6
ORD-000115,2016-04-30,Furniture,Furnishings,Consumer,Customer 511,627.52,4,0.12,91.93
ORD-000116,2016-09-03,Technology,Phones,Consumer,Customer 952,1146.19,4,0.15,288.97
ORD-000117,2016-07-14,Office Supplies,Accessories,Corporate,Customer 907,65.64,3,0.06,7.28
ORD-000118,2016-01-25,Office Supplies,Accessories,Consumer,Customer 1123,193.05,5,0.04,25.4
ORD-000119,2016-09-24,Office Supplies,Binders,Corporate,Customer 973,60.89,2,0.11,5.28
ORD-000120,2016-04-03,Office Supplies,Binders,Home Office,Customer 568,63.4,2,0.15,5.55
ORD-000121,2016-07-16,Technology,Copiers,Corporate,Customer 563,1297.37,3,0.07,368.6
ORD-000122,2016-09-28,Office Supplies,Paper,Consumer,Customer 688,102.91,4,0.05,10.27
ORD-000123,2016-02-15,Office Supplies,Accessories,Consumer,Customer 309,90.18,3,0.07,9.33
ORD-000124,2016-01-14,Furniture,Chairs,Corporate,Customer 132,156.58,1,0.11,27.54
ORD-000125,2016-02-01,Office Supplies,Paper,Consumer,Customer 852,51.03,3,0.08,4.11
ORD-000126,2016-03-07,Furniture,Furnishings,Consumer,Customer 1197,855.8,5,0.13,90.46
ORD-000127,2016-07-23,Technology,Phones,Home Office,Customer 1180,611.6,2,0.01,177.74
ORD-000128,2016-08-24,Office Supplies,Art,Home Office,Customer 612,144.48,4,0.08,10.55
ORD-000129,2016-01-01,Technology,Copiers,Consumer,Customer 1119,849.92,2,0.04,217.01
ORD-000130,2016-03-26,Technology,Accessories,Consumer,Customer 559,1467.41,6,0.08,333.63
ORD-000131,2016-03-05,Office Supplies,Art,Consumer,Customer 829,103.03,3,0.06,9.62
ORD-000132,2016-01-31,Technology,Copiers,Home Office,Customer 1094,592.85,3,0.15,130.29
ORD-000133,2016-01-16,Furniture,Furnishings,Corporate,Customer 56,602.42,2,0.1,75.76
ORD-000134,2016-02-19,Furniture,Furnishings,Consumer,Customer 946,367.74,2,0.04,68.57
ORD-000135,2016-12-09,Furniture,Tables,Consumer,Customer 434,457.66,3,0.13,40.95
ORD-000136,2016-02-16,Office Supplies,Paper,Corporate,Customer 777,131.83,4,0.03,13.43
ORD-000137,2016-03-28,Office Supplies,Storage,Consumer,Customer 168,129.2,4,0.17,7.59
ORD-000138,2016-05-25,Office Supplies,Accessories,Consumer,Customer 717,75.77,3,0.02,7.9
ORD-000139,2016-02-24,Furniture,Bookcases,Corporate,Customer 83,394.7,4,0.16,49.64
ORD-000140,2017-03-04,Technology,Accessories,Consumer,Customer 42,253.13,1,0.14,51.14
ORD-000141,2017-01-28,Office Supplies,Binders,Consumer,Customer 235,126.41,4,0.06,14.85
ORD-000142,2016-02-04,Office Supplies,Binders,Consumer,Customer 525,148.87,6,0.11,11.38
ORD-000143,2016-03-23,Technology,Accessories,Corporate,Customer 235,670.29,2,0.14,160.2
ORD-000144,2016-02-12,Technology,Accessories,Home Office,Customer 222,159.53,2,0.12,38.55
ORD-000145,2016-02-10,Office Supplies,Paper,Corporate,Customer 769,167.72,4,0.05,17.24
ORD-000146,2016-01-05,Office Supplies,Binders,Consumer,Customer 498,95.56,5,0.24,1.44
ORD-000147,2016-04-22,Furniture,Tables,Home Office,Customer 248,425.43,3,0.05,71.19
ORD-000148,2016-03-24,Technology,Phones,Consumer,Customer 878,154.49,1,0.21,31.66
ORD-000149,2016-01-07,Office Supplies,Art,Consumer,Customer 699,195.44,8,0.06,14.58
ORD-000150,2016-02-09,Furniture,Furnishings,Home Office,Customer 217,335.66,2,0.08,49.45
ORD-000151,2016-10-13,Office Supplies,Paper,Corporate,Customer 942,18.54,1,0.12,1.48
ORD-000152,2016-02-02,Technology,Copiers,Consumer,Customer 1069,826.75,2,0.09,202.11
ORD-000153,2016-01-19,Technology,Machines,Corporate,Customer 1103,537.06,4,0.17,102.42
ORD-000154,2016-03-21,Technology,Copiers,Consumer,Customer 550,635.71,5,0.1,142.4
ORD-000155,2017-05-24,Office Supplies,Binders,Home Office,Customer 178,117.03,3,0.05,11.41
ORD-000156,2016-02-03,Office Supplies,Storage,Consumer,Customer 952,144.78,6,0.07,11.42
ORD-000157,2016-05-13,Office Supplies,Storage,Consumer,Customer 1013,65.29,3,0.06,6.81
ORD-000158,2016-06-21,Technology,Accessories,Consumer,Customer 727,961.01,3,0.16,211.18
ORD-000159,2016-02-02,Technology,Machines,Consumer,Customer 566,427.33,2,0.15,89.75
ORD-000160,2016-06-05,Office Supplies,Accessories,Home Office,Customer 176,138.04,4,0.04,15.37
ORD-000161,2016-02-25,Furniture,Furnishings,Consumer,Customer 493,1050.22,4,0.17,115.4
ORD-000162,2016-04-30,Office Supplies,Storage,Consumer,Customer 36,76.42,3,0.09,7.99
ORD-000163,2016-04-30,Furniture,Chairs,Consumer,Customer 499,642.02,3,0.25,38.43
ORD-000164,2016-04-02,Office Supplies,Accessories,Consumer,Customer 1134,94.12,4,0.21,1.59
ORD-000165,2016-01-12,Office Supplies,Storage,Home Office,Customer 1128,63.34,3,0.11,5.27
ORD-000166,2016-08-04,Office Supplies,Storage,Consumer,Customer 515,56.25,3,0.09,6.1
ORD-000167,2016-02-16,Furniture,Chairs,Consumer,Customer 1098,495.88,2,0.04,79.34
ORD-000168,2016-01-25,Technology,Accessories,Consumer,Customer 992,226.17,1,0.09,47.9
ORD-000169,2016-01-05,Office Supplies,Accessories,Home Office,Customer 1075,32.2,1,0.15,1.49
ORD-000170,2016-04-17,Office Supplies,Art,Home Office,Customer 607,98.32,5,0.03,11.74
ORD-000171,2016-05-15,Furniture,Chairs,Consumer,Customer 1094,1060.12,3,0.05,133.75
ORD-000172,2016-01-03,Furniture,Bookcases,Home Office,Customer 1134,859.09,3,0.16,102.78
ORD-000173,2016-03-27,Office Supplies,Binders,Corporate,Customer 1006,37.61,2,0.12,4.22
ORD-000174,2016-01-31,Furniture,Bookcases,Corporate,Customer 962,127.84,1,0.07,19.69
ORD-000175,2016-05-04,Office Supplies,Paper,Consumer,Customer 106,104.93,4,0.03,10.99
ORD-000176,2016-01-23,Office Supplies,Storage,Consumer,Customer 134,196.05,7,0.05,18.25
ORD-000177,2016-05-20,Office Supplies,Art,Corporate,Customer 110,53.33,3,0.11,5.6
ORD-000178,2016-02-28,Furniture,Tables,Consumer,Customer 509,529.11,4,0.05,79.72
ORD-000179,2016-11-27,Furniture,Furnishings,Corporate,Customer 463,232.74,1,0.06,48.09
ORD-000180,2016-01-18,Technology,Copiers,Consumer,Customer 907,354.81,1,0.06,91.12
ORD-000181,2016-02-20,Office Supplies,Accessories,Home Office,Customer 626,57.42,3,0.02,4.96
ORD-000182,2016-01-15,Office Supplies,Art,Corporate,Customer 204,15.96,1,0.05,1.8
ORD-000183,2016-11-06,Technology,Accessories,Corporate,Customer 542,282.65,1,0.1,67.85
ORD-000184,2016-09-08,Office Supplies,Binders,Consumer,Customer 1131,84.54,2,0.03,9.84
ORD-000185,2016-02-05,Furniture,Bookcases,Consumer,Customer 963,271.19,1,0.04,47.7
ORD-000186,2016-05-09,Office Supplies,Binders,Consumer,Customer 580,58.86,2,0.06,5.98
ORD-000187,2016-07-22,Technology,Copiers,Consumer,Customer 479,601.37,2,0.06,156.73
ORD-000188,2016-04-07,Technology,Accessories,Consumer,Customer 1116,1028.37,4,0.25,202.9
ORD-000189,2016-03-31,Furniture,Chairs,Home Office,Customer 292,1518.0,6,0.05,234.73
ORD-000190,2016-02-03,Furniture,Chairs,Corporate,Customer 1166,780.4,3,0.07,116.82
ORD-000191,2016-01-12,Technology,Copiers,Consumer,Customer 623,2053.92,5,0.03,508.86
ORD-000192,2016-09-30,Office Supplies,Paper,Consumer,Customer 1012,87.82,3,0.06,6.52
ORD-000193,2016-10-03,Office Supplies,Accessories,Consumer,Customer 885,12.81,3,0.17,0.45
ORD-000194,2016-04-30,Technology,Machines,Consumer,Customer 469,2328.59,5,0.05,558.92
ORD-000195,2016-02-19,Technology,Phones,Home Office,Customer 552,1194.55,3,0.03,322.08
ORD-000196,2016-02-21,Office Supplies,Binders,Consumer,Customer 906,44.8,2,0.06,5.7
ORD-000197,2016-06-04,Technology,Accessories,Home Office,Customer 893,960.91,3,0.12,230.23
ORD-000198,2016-09-29,Office Supplies,Storage,Home Office,Customer 963,82.63,3,0.07,6.64
ORD-000199,2016-09-18,Office Supplies,Paper,Consumer,Customer 215,90.6,4,0.11,5.35
ORD-000200,2016-06-30,Technology,Machines,Consumer,Customer 1015,945.33,4,0.06,246.24
ORD-000201,2016-05-03,Office Supplies,Storage,Home Office,Customer 1127,197.0,5,0.03,22.14
ORD-000202,2016-01-11,Furniture,Bookcases,Consumer,Customer 663,558.62,3,0.1,77.55
ORD-000203,2016-01-22,Furniture,Furnishings,Home Office,Customer 3,223.47,1,0.08,36.15
ORD-000204,2016-10-01,Office Supplies,Accessories,Consumer,Customer 112,31.61,2,0.09,2.3
ORD-000205,2016-04-21,Furniture,Tables,Corporate,Customer 1021,421.84,3,0.3,22.62
ORD-000206,2016-01-02,Office Supplies,Art,Consumer,Customer 1125,30.87,1,0.09,2.99
ORD-000207,2016-01-13,Furniture,Tables,Consumer,Customer 993,638.22,3,0.08,117.12
ORD-000208,2016-05-10,Furniture,Chairs,Corporate,Customer 637,985.2,3,0.11,125.2
ORD-000209,2016-01-01,Office Supplies,Accessories,Consumer,Customer 461,161.38,4,0.09,15.69
ORD-000210,2016-01-22,Technology,Phones,Consumer,Customer 241,1423.94,4,0.02,421.41
ORD-000211,2016-04-05,Office Supplies,Binders,Consumer,Customer 598,145.27,4,0.05,11.41
ORD-000212,2016-05-21,Office Supplies,Paper,Consumer,Customer 989,118.14,4,0.09,5.9
ORD-000213,2016-05-06,Technology,Accessories,Consumer,Customer 297,829.71,3,0.06,220.39
ORD-000214,2016-01-31,Office Supplies,Accessories,Consumer,Customer 280,59.98,2,0.03,6.81
ORD-000215,2016-05-29,Technology,Machines,Corporate,Customer 850,681.55,5,0.08,175.54
ORD-000216,2016-02-02,Office Supplies,Accessories,Consumer,Customer 6,112.33,5,0.02,11.93
ORD-000217,2016-02-17,Office Supplies,Paper,Home Office,Customer 1188,50.88,2,0.06,3.98
ORD-000218,2016-06-13,Technology,Copiers,Home Office,Customer 915,928.58,4,0.05,219.65
ORD-000219,2016-05-05,Office Supplies,Paper,Consumer,Customer 1113,99.17,3,0.1,7.14
ORD-000220,2016-08-15,Office Supplies,Paper,Home Office,Customer 490,95.25,3,0.09,7.81
ORD-000221,2016-05-08,Office Supplies,Binders,Home Office,Customer 842,155.01,5,0.1,10.07
ORD-000222,2016-04-10,Furniture,Furnishings,Corporate,Customer 781,697.89,3,0.03,116.11
ORD-000223,2016-01-12,Office Supplies,Binders,Consumer,Customer 76,64.95,2,0.1,5.12
ORD-000224,2016-02-25,Furniture,Tables,Home Office,Customer 902,149.71,1,0.07,22.22
ORD-000225,2016-02-06,Furniture,Furnishings,Consumer,Customer 296,714.81,2,0.17,80.55
ORD-000226,2016-02-03,Office Supplies,Binders,Consumer,Customer 543,65.15,2,0.07,4.05
ORD-000227,2017-03-09,Office Supplies,Storage,Corporate,Customer 673,175.53,4,0.08,17.69
ORD-000228,2016-02-29,Technology,Copiers,Home Office,Customer 1000,708.53,2,0.06,191.82
ORD-000229,2016-09-24,Technology,Phones,Corporate,Customer 481,1241.64,3,0.15,241.55
ORD-000230,2016-04-29,Office Supplies,Paper,Home Office,Customer 186,92.83,3,0.06,9.82
ORD-000231,2016-07-09,Office Supplies,Art,Corporate,Customer 206,51.17,2,0.15,2.75
ORD-000232,2016-03-24,Office Supplies,Paper,Home Office,Customer 95,162.29,4,0.06,8.89
ORD-000233,2016-04-13,Office Supplies,Art,Consumer,Customer 768,73.3,4,0.13,2.8
ORD-000234,2016-03-22,Office Supplies,Binders,Consumer,Customer 1160,86.22,2,0.08,6.76
ORD-000235,2016-01-27,Office Supplies,Binders,Consumer,Customer 162,28.09,1,0.07,2.41
ORD-000236,2016-06-02,Office Supplies,Storage,Corporate,Customer 494,33.17,1,0.1,2.36
ORD-000237,2016-02-09,Office Supplies,Accessories,Consumer,Customer 945,75.06,3,0.06,7.6
ORD-000238,2016-01-03,Office Supplies,Storage,Consumer,Customer 20,98.36,3,0.02,13.07
ORD-000239,2016-05-04,Technology,Copiers,Home Office,Customer 1120,658.66,4,0.1,146.49
ORD-000240,2016-01-24,Furniture,Furnishings,Home Office,Customer 613,327.09,1,0.13,44.7
ORD-000241,2016-12-04,Office Supplies,Storage,Corporate,Customer 936,90.73,4,0.08,5.1
ORD-000242,2017-01-04,Technology,Accessories,Home Office,Customer 990,136.28,1,0.09,36.34
ORD-000243,2016-10-22,Furniture,Furnishings,Corporate,Customer 1178,1159.4,5,0.2,115.06
ORD-000244,2016-02-25,Office Supplies,Paper,Consumer,Customer 811,32.38,2,0.07,2.3
ORD-000245,2016-01-02,Office Supplies,Accessories,Home Office,Customer 101,22.08,1,0.06,2.39
ORD-000246,2016-11-12,Technology,Copiers,Home Office,Customer 587,3715.24,6,0.06,988.24
ORD-000247,2016-03-08,Technology,Accessories,Corporate,Customer 722,1239.33,3,0.01,357.1
ORD-000248,2017-02-12,Furniture,Chairs,Corporate,Customer 281,445.64,2,0.04,86.57
ORD-000249,2017-02-01,Office Supplies,Art,Consumer,Customer 903,71.27,3,0.16,7.34
ORD-000250,2016-08-18,Furniture,Tables,Corporate,Customer 185,357.41,2,0.13,27.94
ORD-000251,2016-02-11,Technology,Machines,Corporate,Customer 360,862.28,3,0.16,186.57
ORD-000252,2016-02-28,Furniture,Tables,Consumer,Customer 559,2835.77,7,0.01,438.37
ORD-000253,2016-08-16,Technology,Machines,Home Office,Customer 987,417.69,1,0.04,108.51
ORD-000254,2016-02-15,Technology,Machines,Corporate,Customer 694,1221.18,3,0.14,281.25
ORD-000255,2016-01-23,Technology,Copiers,Home Office,Customer 289,1030.49,4,0.08,265.59
ORD-000256,2016-04-07,Technology,Accessories,Home Office,Customer 814,2300.39,5,0.08,584.07
ORD-000257,2016-11-26,Technology,Machines,Consumer,Customer 809,1312.61,4,0.03,367.2
ORD-000258,2016-05-22,Furniture,Bookcases,Consumer,Customer 537,660.24,4,0.05,111.17
ORD-000259,2016-04-11,Office Supplies,Paper,Consumer,Customer 479,136.5,5,0.01,13.14
ORD-000260,2016-01-13,Office Supplies,Accessories,Home Office,Customer 1150,28.74,2,0.05,3.59
ORD-000261,2016-04-24,Office Supplies,Accessories,Consumer,Customer 130,107.6,6,0.12,7.54
ORD-000262,2017-07-07,Office Supplies,Storage,Home Office,Customer 619,43.88,4,0.01,5.29
ORD-000263,2016-01-19,Office Supplies,Art,Consumer,Customer 77,47.2,2,0.08,2.62
ORD-000264,2016-03-28,Office Supplies,Storage,Consumer,Customer 481,31.48,2,0.02,3.57
ORD-000265,2016-09-08,Technology,Accessories,Consumer,Customer 760,698.19,4,0.0,209.59
ORD-000266,2016-06-11,Office Supplies,Accessories,Consumer,Customer 317,65.24,3,0.02,8.49
ORD-000267,2016-05-23,Technology,Phones,Home Office,Customer 836,582.58,4,0.09,147.57
ORD-000268,2016-05-25,Technology,Machines,Consumer,Customer 759,379.02,2,0.03,96.9
ORD-000269,2016-02-23,Furniture,Furnishings,Home Office,Customer 743,327.83,1,0.1,51.31
ORD-000270,2016-02-11,Furniture,Tables,Consumer,Customer 735,864.94,3,0.09,137.77
ORD-000271,2016-07-17,Furniture,Tables,Consumer,Customer 251,370.19,4,0.09,57.03
ORD-000272,2016-07-18,Technology,Copiers,Consumer,Customer 435,325.34,3,0.12,72.74
ORD-000273,2016-08-30,Office Supplies,Accessories,Home Office,Customer 104,139.94,4,0.11,14.04
ORD-000274,2016-10-20,Technology,Accessories,Home Office,Customer 1157,610.09,2,0.12,144.88
ORD-000275,2016-03-26,Furniture,Chairs,Corporate,Customer 478,894.81,4,0.05,136.68
ORD-000276,2016-03-24,Office Supplies,Binders,Corporate,Customer 6,81.04,3,0.02,7.5
ORD-000277,2016-07-11,Office Supplies,Binders,Home Office,Customer 1107,52.6,2,0.08,2.93
ORD-000278,2016-05-05,Office Supplies,Binders,Consumer,Customer 53,92.31,3,0.25,0.87
ORD-000279,2016-05-25,Furniture,Tables,Corporate,Customer 488,213.6,2,0.18,28.24
ORD-000280,2016-07-09,Office Supplies,Art,Consumer,Customer 108,118.61,3,0.04,11.66
